key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,28.957,1,8.71,space,76.612,space,4.034,2,1,10.012,7,5.813,0,0,0,0,1,practice/practice_1_std.wav,2,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,3.201,7,2.483,0,1,1,1,1,practice/practice_1_dev.wav,1,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,3.828,7,10.139,0,2,2,2,1,practice/practice_2_std.wav,2,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.868,7,2.257,0,3,3,3,1,practice/practice_2_dev.wav,1,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,4.443,7,2.873,0,4,4,4,1,practice/practice_3_dev.wav,1,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,9.818,5,6.556,,,,,,,,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,space,14.77,0,0,0,16,1,mels/atonal_5a_std.wav
,,,,,,,,1,1,3.05,6,5.168,,,,,,,,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,2.211,4,2.734,,,,,,,,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,22,1,mels/atonal_6b_std.wav
,,,,,,,,1,1,1.741,6,1.987,,,,,,,,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,37,1,mels/tonal_4a_dev.wav
,,,,,,,,2,0,2.569,4,1.319,,,,,,,,02,m,29,0,-,2020-09-02_21h09.46.462,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,34,1,mels/tonal_3b_std.wav
