key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,36.85725,1,0.419425,space,11.51184,space,7.180915,1,0,9.452765,3,57.4458,0,0,0,0,1,practice/practice_1_std.wav,2,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,3.39858,3,2.649765,0,1,1,1,1,practice/practice_1_dev.wav,1,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,0,28.431145,3,2.146715,0,2,2,2,1,practice/practice_2_std.wav,2,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.360835,1,2.30652,0,3,3,3,1,practice/practice_2_dev.wav,1,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.970385,1,1.05523,0,4,4,4,1,practice/practice_3_dev.wav,1,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,2.32733,2,2.38369,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,space,3.939955,0,0,0,12,1,mels/atonal_4a_std.wav
,,,,,,,,1,1,1.16844,1,0.492395,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,29,1,mels/tonal_2a_dev.wav
,,,,,,,,2,0,1.20598,1,0.49188,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,37,1,mels/tonal_4a_dev.wav
,,,,,,,,2,0,1.57215,1,0.82243,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,32,1,mels/tonal_3a_std.wav
,,,,,,,,2,0,2.862505,2,1.14662,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,41,1,mels/tonal_5a_dev.wav
,,,,,,,,1,1,4.165275,4,2.272175,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,22,1,mels/atonal_6b_std.wav
,,,,,,,,2,0,1.41144,2,0.993235,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,42,1,mels/tonal_5b_std.wav
,,,,,,,,2,0,1.3446,2,0.57136,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,18,1,mels/atonal_5b_std.wav
,,,,,,,,2,0,1.689565,2,1.276365,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,8,8,39,1,mels/tonal_4b_dev.wav
,,,,,,,,1,1,2.363025,4,2.29499,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,9,9,45,1,mels/tonal_6a_dev.wav
,,,,,,,,2,0,1.633075,3,2.422315,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,10,10,1,1,mels/atonal_1a_dev.wav
,,,,,,,,2,0,3.990345,2,12.54774,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,11,11,8,1,mels/atonal_3a_std.wav
,,,,,,,,2,0,1.743395,2,0.4111,,,,,,,,23,f,28,keine,keine,2020-11-02_18h20.09.526,exp_mumufe_builder,2020.2.3,Win32,60,,,0,12,12,26,1,mels/tonal_1b_std.wav
