key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,10.383,1,14.423,space,28.263,space,3.855,2,1,3.961,7,3.725,0,0,0,0,1,practice/practice_1_std.wav,2,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,6.588,7,5.239,0,1,1,1,1,practice/practice_1_dev.wav,1,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,3.572,7,3.758,0,2,2,2,1,practice/practice_2_std.wav,2,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,3.275,6,2.885,0,3,3,3,1,practice/practice_2_dev.wav,1,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,2.871,6,1.985,0,4,4,4,1,practice/practice_3_dev.wav,1,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,13.199,5,4.443,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,space,4.543,0,0,0,33,1,mels/tonal_3a_dev.wav
,,,,,,,,2,0,20.605,3,5.074,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,2.721,6,4.167,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,39,1,mels/tonal_4b_dev.wav
,,,,,,,,2,0,4.084,6,1.792,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,46,1,mels/tonal_6b_std.wav
,,,,,,,,2,0,4.886,3,4.536,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,5,1,mels/atonal_2a_dev.wav
,,,,,,,,2,0,3.452,4,3.035,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,43,1,mels/tonal_5b_dev.wav
,,,,,,,,2,0,2.509,3,4.018,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,6,1,mels/atonal_2b_std.wav
,,,,,,,,2,0,2.637,4,2.185,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,13,1,mels/atonal_4a_dev.wav
,,,,,,,,2,0,5.238,3,3.643,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,8,8,9,1,mels/atonal_3a_dev.wav
,,,,,,,,2,0,5.484,5,2.505,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,9,9,0,1,mels/atonal_1a_std.wav
,,,,,,,,1,1,1.408,6,2.151,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,10,10,47,1,mels/tonal_6b_dev.wav
,,,,,,,,2,0,1.991,5,1.826,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,11,11,4,1,mels/atonal_2a_std.wav
,,,,,,,,2,0,1.852,7,1.904,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,12,12,28,1,mels/tonal_2a_std.wav
,,,,,,,,2,0,1.701,5,1.427,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,13,13,18,1,mels/atonal_5b_std.wav
,,,,,,,,1,1,4.724,2,1.67,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,14,14,41,1,mels/tonal_5a_dev.wav
,,,,,,,,2,0,2.522,5,1.606,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,15,15,17,1,mels/atonal_5a_dev.wav
,,,,,,,,1,1,7.934,2,1.607,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,16,16,25,1,mels/tonal_1a_dev.wav
,,,,,,,,2,0,4.79,3,3.15,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,17,17,11,1,mels/atonal_3b_dev.wav
,,,,,,,,2,0,6.484,2,2.253,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,18,18,8,1,mels/atonal_3a_std.wav
,,,,,,,,2,0,6.4,5,1.91,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,19,19,2,1,mels/atonal_1b_std.wav
,,,,,,,,2,0,2.319,6,3.884,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,20,20,23,1,mels/atonal_6b_dev.wav
,,,,,,,,2,0,1.925,6,1.724,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,21,21,45,1,mels/tonal_6a_dev.wav
,,,,,,,,2,0,2.401,5,1.552,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,22,22,37,1,mels/tonal_4a_dev.wav
,,,,,,,,2,0,1.955,6,1.439,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,23,23,12,1,mels/atonal_4a_std.wav
,,,,,,,,2,0,1.804,7,2.422,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,24,24,44,1,mels/tonal_6a_std.wav
,,,,,,,,2,0,1.723,6,2.434,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,25,25,15,1,mels/atonal_4b_dev.wav
,,,,,,,,1,1,1.502,5,1.772,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,26,26,35,1,mels/tonal_3b_dev.wav
,,,,,,,,2,0,1.669,6,2.158,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,27,27,38,1,mels/tonal_4b_std.wav
,,,,,,,,1,1,4.822,2,2.45,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,28,28,40,1,mels/tonal_5a_std.wav
,,,,,,,,2,0,2.959,5,4.42,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,29,29,32,1,mels/tonal_3a_std.wav
,,,,,,,,2,0,2.053,7,1.021,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,30,30,42,1,mels/tonal_5b_std.wav
,,,,,,,,2,0,1.591,6,1.186,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,31,31,20,1,mels/atonal_6a_std.wav
,,,,,,,,1,1,1.62,3,3.984,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,32,32,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,1.835,7,1.235,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,33,33,30,1,mels/tonal_2b_std.wav
,,,,,,,,1,1,1.935,7,1.11,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,34,34,27,1,mels/tonal_1b_dev.wav
,,,,,,,,2,0,2.384,5,2.352,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,35,35,19,1,mels/atonal_5b_dev.wav
,,,,,,,,2,0,1.575,5,2.236,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,36,36,16,1,mels/atonal_5a_std.wav
,,,,,,,,2,0,1.883,5,2.42,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,37,37,14,1,mels/atonal_4b_std.wav
,,,,,,,,2,0,1.676,7,1.356,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,38,38,34,1,mels/tonal_3b_std.wav
,,,,,,,,2,0,2.535,5,2.334,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,39,39,10,1,mels/atonal_3b_std.wav
,,,,,,,,2,0,1.602,5,1.935,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,40,40,26,1,mels/tonal_1b_std.wav
,,,,,,,,2,0,1.952,5,2.857,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,41,41,22,1,mels/atonal_6b_std.wav
,,,,,,,,2,0,1.886,4,5.988,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,42,42,24,1,mels/tonal_1a_std.wav
,,,,,,,,1,1,1.801,3,2.567,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,43,43,31,1,mels/tonal_2b_dev.wav
,,,,,,,,2,0,1.788,4,1.302,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,44,44,1,1,mels/atonal_1a_dev.wav
,,,,,,,,2,0,1.676,7,1.575,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,45,45,36,1,mels/tonal_4a_std.wav
,,,,,,,,2,0,4.517,4,3.587,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,46,46,3,1,mels/atonal_1b_dev.wav
,,,,,,,,1,1,1.401,7,1.073,,,,,,,,5,m,29,0,-,2020-09-07_11h37.32.329,exp_mumufe_builder,2020.2.3,Win32,60,,,0,47,47,29,1,mels/tonal_2a_dev.wav
