key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,5.028785,1,5.22873,space,32.600875,space,5.1068,2,1,2.39253,7,3.63291,0,0,0,0,1,practice/practice_1_std.wav,2,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,1.95113,7,1.799855,0,1,1,1,1,practice/practice_1_dev.wav,1,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,1,1.617195,7,1.25626,0,2,2,2,1,practice/practice_2_std.wav,2,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,4.66687,7,0.88803,0,3,3,3,1,practice/practice_2_dev.wav,1,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,0,2.640295,3,4.60222,0,4,4,4,1,practice/practice_3_dev.wav,1,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,2.335475,4,2.00498,,,,,,,,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,space,2.848205,0,0,0,5,1,mels/atonal_2a_dev.wav
,,,,,,,,2,0,7.687725,3,4.18356,,,,,,,,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,1,1,8,1,mels/atonal_3a_std.wav
,,,,,,,,2,0,2.35118,6,1.98354,,,,,,,,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,2,2,40,1,mels/tonal_5a_std.wav
,,,,,,,,2,0,2.06709,4,1.85094,,,,,,,,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,3,3,32,1,mels/tonal_3a_std.wav
,,,,,,,,1,1,1.70076,5,1.488175,,,,,,,,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,4,4,4,1,mels/atonal_2a_std.wav
,,,,,,,,1,1,3.3841,5,3.299025,,,,,,,,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,5,5,27,1,mels/tonal_1b_dev.wav
,,,,,,,,1,1,2.46788,4,1.26773,,,,,,,,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,6,6,34,1,mels/tonal_3b_std.wav
,,,,,,,,2,0,2.157025,3,2.18382,,,,,,,,54,m,36,0,0,2020-11-30_17h55.46.748,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,7,7,20,1,mels/atonal_6a_std.wav
