key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,By klicking “OK” below I confirm that I have carefully read the information in the email and I agree to participate in the study,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
2,8.664,3,11.43,space,31.712,space,5.536,2,1,4.921,7,6.833,0,0,0,0,1,practice/practice_1_std.wav,2,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,2.299,7,2.718,0,1,1,1,1,practice/practice_1_dev.wav,1,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,2,1,2.716,7,2.265,0,2,2,2,1,practice/practice_2_std.wav,2,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,1.244,6,2.396,0,3,3,3,1,practice/practice_2_dev.wav,1,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,1.659,5,3.167,0,4,4,4,1,practice/practice_3_dev.wav,1,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,2.915,4,2.278,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,space,10.843,0,0,0,24,1,mels/tonal_1a_std.wav
,,,,,,,,2,0,1.264,5,1.609,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,1,1,39,1,mels/tonal_4b_dev.wav
,,,,,,,,2,0,2.095,5,2.23,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,2,2,2,1,mels/atonal_1b_std.wav
,,,,,,,,1,1,0.926,4,2.345,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,3,3,5,1,mels/atonal_2a_dev.wav
,,,,,,,,2,0,1.662,6,1.66,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,4,4,3,1,mels/atonal_1b_dev.wav
,,,,,,,,2,0,2.263,4,1.412,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,5,5,10,1,mels/atonal_3b_std.wav
,,,,,,,,1,1,1.162,6,1.511,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,6,6,47,1,mels/tonal_6b_dev.wav
,,,,,,,,1,1,0.879,6,1.896,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,7,7,28,1,mels/tonal_2a_std.wav
,,,,,,,,2,0,1.308,5,2.498,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,8,8,15,1,mels/atonal_4b_dev.wav
,,,,,,,,2,0,4.119,3,1.161,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,9,9,36,1,mels/tonal_4a_std.wav
,,,,,,,,1,1,0.607,3,3.267,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,10,10,46,1,mels/tonal_6b_std.wav
,,,,,,,,1,1,1.311,5,1.179,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,11,11,17,1,mels/atonal_5a_dev.wav
,,,,,,,,2,0,1.178,5,1.366,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,12,12,33,1,mels/tonal_3a_dev.wav
,,,,,,,,1,1,1.108,4,1.393,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,13,13,7,1,mels/atonal_2b_dev.wav
,,,,,,,,1,1,2.566,3,1.281,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,14,14,0,1,mels/atonal_1a_std.wav
,,,,,,,,2,0,1.127,5,1.094,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,15,15,42,1,mels/tonal_5b_std.wav
,,,,,,,,2,0,1.243,4,1.482,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,16,16,21,1,mels/atonal_6a_dev.wav
,,,,,,,,1,1,0.809,6,1.263,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,17,17,41,1,mels/tonal_5a_dev.wav
,,,,,,,,2,0,1.392,5,1.159,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,18,18,44,1,mels/tonal_6a_std.wav
,,,,,,,,1,1,2.999,4,1.276,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,19,19,9,1,mels/atonal_3a_dev.wav
,,,,,,,,1,1,0.528,6,1.194,,,,,,,,I confirm,86,f,27,1,8,2021-01-19_13h04.15.226,exp_mumufe_builder,2020.2.2,Win32,60,,,0,20,20,27,1,mels/tonal_1b_dev.wav
