key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,By klicking “OK” below I confirm that I have carefully read the information in the email and I agree to participate in the study,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,10.563,1,8.208,space,76.647,space,4.587,2,1,5.87,7,6.202,0,0,0,0,1,practice/practice_1_std.wav,2,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,0,2.751,5,14.768,0,1,1,1,1,practice/practice_1_dev.wav,1,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,1,5.134,7,2.25,0,2,2,2,1,practice/practice_2_std.wav,2,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,2,7,1.942,0,3,3,3,1,practice/practice_2_dev.wav,1,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,1.673,7,1.418,0,4,4,4,1,practice/practice_3_dev.wav,1,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,1.915,5,2.987,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,space,4.836,0,0,0,47,1,mels/tonal_6b_dev.wav
,,,,,,,,2,0,1.667,7,3.102,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,1,1,18,1,mels/atonal_5b_std.wav
,,,,,,,,2,0,1.552,7,2,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,2,2,25,1,mels/tonal_1a_dev.wav
,,,,,,,,2,0,1.968,5,1.305,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,3,3,42,1,mels/tonal_5b_std.wav
,,,,,,,,2,0,1.539,5,1.154,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,4,4,19,1,mels/atonal_5b_dev.wav
,,,,,,,,2,0,1.134,5,1.189,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,5,5,43,1,mels/tonal_5b_dev.wav
,,,,,,,,1,1,2.257,4,2.387,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,6,6,35,1,mels/tonal_3b_dev.wav
,,,,,,,,2,0,1.206,6,1.282,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,7,7,26,1,mels/tonal_1b_std.wav
,,,,,,,,2,0,1.489,5,2.241,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,8,8,12,1,mels/atonal_4a_std.wav
,,,,,,,,2,0,1.671,7,0.965,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,9,9,36,1,mels/tonal_4a_std.wav
,,,,,,,,2,0,1.116,7,1.171,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,10,10,30,1,mels/tonal_2b_std.wav
,,,,,,,,2,0,1.768,5,3.555,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,11,11,11,1,mels/atonal_3b_dev.wav
,,,,,,,,2,0,1.001,6,1.068,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,12,12,16,1,mels/atonal_5a_std.wav
,,,,,,,,1,1,0.671,7,1.291,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,13,13,27,1,mels/tonal_1b_dev.wav
,,,,,,,,2,0,1.351,6,1.268,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,14,14,8,1,mels/atonal_3a_std.wav
,,,,,,,,2,0,2.639,5,3.605,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,15,15,23,1,mels/atonal_6b_dev.wav
,,,,,,,,2,0,3.343,5,2.167,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,16,16,28,1,mels/tonal_2a_std.wav
,,,,,,,,1,1,1.094,7,1.622,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,17,17,31,1,mels/tonal_2b_dev.wav
,,,,,,,,2,0,2.102,2,0.171,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,18,18,5,1,mels/atonal_2a_dev.wav
,,,,,,,,1,1,4.191,4,2.303,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,19,19,33,1,mels/tonal_3a_dev.wav
,,,,,,,,1,1,0.804,6,1.931,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,20,20,37,1,mels/tonal_4a_dev.wav
,,,,,,,,2,0,2.99,6,7.225,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,21,21,34,1,mels/tonal_3b_std.wav
,,,,,,,,2,0,1.451,5,2.053,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,22,22,20,1,mels/atonal_6a_std.wav
,,,,,,,,2,0,1.078,6,1.334,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,23,23,15,1,mels/atonal_4b_dev.wav
,,,,,,,,2,0,1.822,5,1.325,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,24,24,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,0.969,7,1.401,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,25,25,32,1,mels/tonal_3a_std.wav
,,,,,,,,2,0,0.991,6,1.189,,,,,,,,I confirm,70,f,33,0,0,2021-01-08_17h26.00.126,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,26,26,7,1,mels/atonal_2b_dev.wav
