key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,3.54691,1,5.13559,space,31.432945,space,4.65309,2,1,2.98395,7,7.67211,0,0,0,0,1,practice/practice_1_std.wav,2,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,,,,,,
,,,,,,,,1,1,5.224575,7,3.298315,0,1,1,1,1,practice/practice_1_dev.wav,1,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,,,,,,
,,,,,,,,2,1,4.190455,6,4.92454,0,2,2,2,1,practice/practice_2_std.wav,2,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,,,,,,
,,,,,,,,1,1,4.23174,5,4.24926,0,3,3,3,1,practice/practice_2_dev.wav,1,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,,,,,,
,,,,,,,,2,0,4.483615,5,8.054805,0,4,4,4,1,practice/practice_3_dev.wav,1,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,,,,,,
,,,,,,,,2,0,4.338625,5,6.982545,,,,,,,,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,space,4.55364,0,0,0,47,1,mels/tonal_6b_dev.wav
,,,,,,,,2,0,8.269285,4,2.925115,,,,,,,,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,0,1,1,40,1,mels/tonal_5a_std.wav
,,,,,,,,1,1,2.346535,5,5.630455,,,,,,,,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,0,2,2,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,2.962625,6,1.805575,,,,,,,,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,0,3,3,28,1,mels/tonal_2a_std.wav
,,,,,,,,1,1,3.461985,5,4.301505,,,,,,,,51,f,51,0,0,2020-12-05_12h41.29.068,exp_mumufe_builder,2020.2.2,Linux x86_64,60,,,0,4,4,10,1,mels/atonal_3b_std.wav
