key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,By klicking “OK” below I confirm that I have carefully read the information in the email and I agree to participate in the study,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,6.997175,1,11.12119,space,62.754745,space,5.380045,2,1,4.34959,7,3.91325,0,0,0,0,1,practice/practice_1_std.wav,2,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,1.868155,7,2.20255,0,1,1,1,1,practice/practice_1_dev.wav,1,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,1,2.606515,7,2.451395,0,2,2,2,1,practice/practice_2_std.wav,2,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,1.85015,7,1.935065,0,3,3,3,1,practice/practice_2_dev.wav,1,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,2.65118,7,2.0212,0,4,4,4,1,practice/practice_3_dev.wav,1,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,0,2.3729,7,2.885385,,,,,,,,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,space,3.96806,0,0,0,34,1,mels/tonal_3b_std.wav
,,,,,,,,2,0,2.51794,7,1.76947,,,,,,,,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,1,1,46,1,mels/tonal_6b_std.wav
,,,,,,,,1,1,1.63686,7,1.785285,,,,,,,,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,2,2,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,2.55503,5,2.769485,,,,,,,,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,3,3,40,1,mels/tonal_5a_std.wav
,,,,,,,,1,1,2.052275,7,3.572345,,,,,,,,I confirm,87,f,58,0,0,2021-01-19_16h50.42.967,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,4,4,27,1,mels/tonal_1b_dev.wav
