key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,By klicking “OK” below I confirm that I have carefully read the information in the email and I agree to participate in the study,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,4.262,1,6.494,space,18.925,space,2.033,2,1,1.746,7,2.921,0,0,0,0,1,practice/practice_1_std.wav,2,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,0.842,7,1.337,0,1,1,1,1,practice/practice_1_dev.wav,1,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,2,1,1.161,7,0.799,0,2,2,2,1,practice/practice_2_std.wav,2,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,0.915,7,0.386,0,3,3,3,1,practice/practice_2_dev.wav,1,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,0.715,7,0.438,0,4,4,4,1,practice/practice_3_dev.wav,1,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,,,,,,
,,,,,,,,1,1,0.863,6,1.903,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,space,2.798,0,0,0,45,1,mels/tonal_6a_dev.wav
,,,,,,,,1,1,0.747,7,1.394,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,1,1,41,1,mels/tonal_5a_dev.wav
,,,,,,,,2,0,1.341,6,1.225,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,2,2,14,1,mels/atonal_4b_std.wav
,,,,,,,,1,1,0.87,3,2.699,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,3,3,11,1,mels/atonal_3b_dev.wav
,,,,,,,,1,1,1.101,5,1.687,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,4,4,37,1,mels/tonal_4a_dev.wav
,,,,,,,,1,1,1.68,6,1.724,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,5,5,13,1,mels/atonal_4a_dev.wav
,,,,,,,,2,0,1.434,5,1.912,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,6,6,46,1,mels/tonal_6b_std.wav
,,,,,,,,2,0,2.354,7,1.599,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,7,7,26,1,mels/tonal_1b_std.wav
,,,,,,,,1,1,1.251,6,1.104,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,8,8,27,1,mels/tonal_1b_dev.wav
,,,,,,,,2,0,1.37,6,1.784,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,9,9,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,1.037,7,1.167,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,10,10,36,1,mels/tonal_4a_std.wav
,,,,,,,,2,0,1.065,6,0.726,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,11,11,17,1,mels/atonal_5a_dev.wav
,,,,,,,,2,0,1.901,7,1.121,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,12,12,6,1,mels/atonal_2b_std.wav
,,,,,,,,2,0,1.017,7,0.849,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,13,13,30,1,mels/tonal_2b_std.wav
,,,,,,,,1,1,0.772,7,0.783,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,14,14,29,1,mels/tonal_2a_dev.wav
,,,,,,,,2,0,1.115,6,1.137,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,15,15,2,1,mels/atonal_1b_std.wav
,,,,,,,,1,1,1.093,7,0.834,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,16,16,47,1,mels/tonal_6b_dev.wav
,,,,,,,,1,1,1.72,6,0.879,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,17,17,23,1,mels/atonal_6b_dev.wav
,,,,,,,,1,1,0.648,7,1.694,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,18,18,35,1,mels/tonal_3b_dev.wav
,,,,,,,,2,0,1.904,6,2.371,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,19,19,4,1,mels/atonal_2a_std.wav
,,,,,,,,2,0,1.311,7,1.573,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,20,20,8,1,mels/atonal_3a_std.wav
,,,,,,,,1,1,1.59,1,2.196,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,21,21,3,1,mels/atonal_1b_dev.wav
,,,,,,,,2,0,1.092,2,1.304,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,22,22,19,1,mels/atonal_5b_dev.wav
,,,,,,,,2,0,0.715,6,1.497,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,23,23,28,1,mels/tonal_2a_std.wav
,,,,,,,,1,1,0.474,4,1.209,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,24,24,39,1,mels/tonal_4b_dev.wav
,,,,,,,,1,1,1.318,1,2.852,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,25,25,40,1,mels/tonal_5a_std.wav
,,,,,,,,2,0,1.505,6,0.865,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,26,26,10,1,mels/atonal_3b_std.wav
,,,,,,,,2,0,2.149,6,0.935,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,27,27,38,1,mels/tonal_4b_std.wav
,,,,,,,,1,1,0.419,7,2.201,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,28,28,43,1,mels/tonal_5b_dev.wav
,,,,,,,,2,0,2.116,7,1.12,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,29,29,32,1,mels/tonal_3a_std.wav
,,,,,,,,1,1,2.353,6,0.954,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,30,30,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,1.971,2,3.049,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,31,31,20,1,mels/atonal_6a_std.wav
,,,,,,,,2,0,3.989,7,1.651,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,32,32,18,1,mels/atonal_5b_std.wav
,,,,,,,,2,0,3.624,7,1.188,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,33,33,42,1,mels/tonal_5b_std.wav
,,,,,,,,2,0,2.409,6,1.184,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,34,34,34,1,mels/tonal_3b_std.wav
,,,,,,,,2,0,2.183,6,1.938,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,35,35,9,1,mels/atonal_3a_dev.wav
,,,,,,,,2,0,1.856,6,1.224,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,36,36,0,1,mels/atonal_1a_std.wav
,,,,,,,,1,1,0.641,7,1.465,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,37,37,5,1,mels/atonal_2a_dev.wav
,,,,,,,,1,1,0.401,7,1.347,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,38,38,33,1,mels/tonal_3a_dev.wav
,,,,,,,,2,0,2.665,7,0.802,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,39,39,31,1,mels/tonal_2b_dev.wav
,,,,,,,,1,1,0.429,7,1.04,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,40,40,1,1,mels/atonal_1a_dev.wav
,,,,,,,,1,1,0.394,6,1.286,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,41,41,15,1,mels/atonal_4b_dev.wav
,,,,,,,,2,0,3.59,2,1.157,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,42,42,12,1,mels/atonal_4a_std.wav
,,,,,,,,2,0,3.01,6,1.05,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,43,43,44,1,mels/tonal_6a_std.wav
,,,,,,,,2,0,4.313,6,0.514,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,44,44,16,1,mels/atonal_5a_std.wav
,,,,,,,,2,0,4.854,6,0.494,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,45,45,24,1,mels/tonal_1a_std.wav
,,,,,,,,1,1,1.11,7,0.485,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,46,46,25,1,mels/tonal_1a_dev.wav
,,,,,,,,2,0,2.24,2,1.108,,,,,,,,I confirm,82,m,31,0,/,2021-01-12_00h07.00.110,exp_mumufe_builder,2020.2.2,Win32,60,,,0,47,47,22,1,mels/atonal_6b_std.wav
