key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,5.279,1,10.56,space,25.096,space,3.573,2,1,2.457,6,7.803,0,0,0,0,1,practice/practice_1_std.wav,2,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,7.209,7,1.986,0,1,1,1,1,practice/practice_1_dev.wav,1,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,2.188,5,4.351,0,2,2,2,1,practice/practice_2_std.wav,2,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,2.402,3,2.896,0,3,3,3,1,practice/practice_2_dev.wav,1,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,2.326,2,6.29,0,4,4,4,1,practice/practice_3_dev.wav,1,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,5.676,3,8.432,,,,,,,,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,space,7.078,0,0,0,34,1,mels/tonal_3b_std.wav
,,,,,,,,2,0,8.65,1,0.936,,,,,,,,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,44,1,mels/tonal_6a_std.wav
,,,,,,,,1,1,5.256,4,3.712,,,,,,,,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,33,1,mels/tonal_3a_dev.wav
,,,,,,,,1,1,8.942,1,4.736,,,,,,,,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,31,1,mels/tonal_2b_dev.wav
,,,,,,,,1,1,4.964,2,1.232,,,,,,,,33,m,40,0,0,2020-11-20_14h03.01.277,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,0,1,mels/atonal_1a_std.wav
