key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,89.601,1,17.144,space,63.791,space,3.866,2,1,5.485,7,5.156,0,0,0,0,1,practice/practice_1_std.wav,2,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,2.514,7,2.519,0,1,1,1,1,practice/practice_1_dev.wav,1,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,4.173,7,2.036,0,2,2,2,1,practice/practice_2_std.wav,2,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,2.572,3,14.101,0,3,3,3,1,practice/practice_2_dev.wav,1,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,2.553,5,5.754,0,4,4,4,1,practice/practice_3_dev.wav,1,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,3.735,7,3.102,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,space,6.448,0,0,0,13,1,mels/atonal_4a_dev.wav
,,,,,,,,1,1,5.768,2,4.86,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,24,1,mels/tonal_1a_std.wav
,,,,,,,,1,1,2.247,6,3.769,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,22,1,mels/atonal_6b_std.wav
,,,,,,,,1,1,5.743,4,3.235,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,19,1,mels/atonal_5b_dev.wav
,,,,,,,,1,1,3.973,4,2.512,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,45,1,mels/tonal_6a_dev.wav
,,,,,,,,2,0,6.415,4,2.035,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,2,1,mels/atonal_1b_std.wav
,,,,,,,,2,0,2.969,4,1.894,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,12,1,mels/atonal_4a_std.wav
,,,,,,,,2,0,2.38,4,1.973,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,33,1,mels/tonal_3a_dev.wav
,,,,,,,,2,0,2.658,4,1.603,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,8,8,43,1,mels/tonal_5b_dev.wav
,,,,,,,,2,0,2.003,4,1.893,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,9,9,17,1,mels/atonal_5a_dev.wav
,,,,,,,,2,0,2.677,4,1.368,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,10,10,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,1.868,4,1.39,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,11,11,32,1,mels/tonal_3a_std.wav
,,,,,,,,1,1,1.524,4,2.369,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,12,12,27,1,mels/tonal_1b_dev.wav
,,,,,,,,2,0,1.469,4,1.703,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,13,13,16,1,mels/atonal_5a_std.wav
,,,,,,,,2,0,2.037,4,1.603,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,14,14,23,1,mels/atonal_6b_dev.wav
,,,,,,,,2,0,1.801,4,1.426,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,15,15,9,1,mels/atonal_3a_dev.wav
,,,,,,,,2,0,0.54,4,0.662,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,16,16,38,1,mels/tonal_4b_std.wav
,,,,,,,,2,0,2.47,4,0.894,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,17,17,37,1,mels/tonal_4a_dev.wav
,,,,,,,,1,1,0.8,4,2.152,,,,,,,,Heinz Fischer,m,83,4,13,2020-11-03_21h36.42.229,exp_mumufe_builder,2020.2.3,Win32,60,,,0,18,18,35,1,mels/tonal_3b_dev.wav
