key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,24.55503,1,9.78878,space,43.858985,space,4.26912,2,1,6.18884,7,10.54232,0,0,0,0,1,practice/practice_1_std.wav,2,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,3.507105,7,3.53429,0,1,1,1,1,practice/practice_1_dev.wav,1,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,3.607585,7,4.071955,0,2,2,2,1,practice/practice_2_std.wav,2,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.91823,7,1.65435,0,3,3,3,1,practice/practice_2_dev.wav,1,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,4.537175,3,6.69822,0,4,4,4,1,practice/practice_3_dev.wav,1,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,5.4789,7,5.92276,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,space,4.60882,0,0,0,28,1,mels/tonal_2a_std.wav
,,,,,,,,1,1,3.18241,7,3.090895,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,42,1,mels/tonal_5b_std.wav
,,,,,,,,1,1,1.794245,7,2.419635,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,18,1,mels/atonal_5b_std.wav
,,,,,,,,2,0,4.929985,3,4.81529,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,10,1,mels/atonal_3b_std.wav
,,,,,,,,1,1,1.714185,7,2.457885,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,29,1,mels/tonal_2a_dev.wav
,,,,,,,,2,0,7.040245,4,11.78004,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,0,1,mels/atonal_1a_std.wav
,,,,,,,,2,0,1.82122,7,2.55269,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,45,1,mels/tonal_6a_dev.wav
,,,,,,,,2,0,3.33378,3,4.506815,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,39,1,mels/tonal_4b_dev.wav
,,,,,,,,2,0,4.321415,6,6.099105,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,8,8,17,1,mels/atonal_5a_dev.wav
,,,,,,,,2,0,3.10338,6,3.11581,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,9,9,23,1,mels/atonal_6b_dev.wav
,,,,,,,,2,0,2.93036,6,2.453135,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,10,10,5,1,mels/atonal_2a_dev.wav
,,,,,,,,2,0,2.730605,6,2.052855,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,11,11,33,1,mels/tonal_3a_dev.wav
,,,,,,,,2,0,2.6854,6,1.78771,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,12,12,15,1,mels/atonal_4b_dev.wav
,,,,,,,,2,0,2.60038,6,1.73397,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,13,13,47,1,mels/tonal_6b_dev.wav
,,,,,,,,2,0,1.67515,6,1.403035,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,14,14,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,1.580895,6,1.52202,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,15,15,34,1,mels/tonal_3b_std.wav
,,,,,,,,2,0,1.50698,6,1.510225,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,16,16,19,1,mels/atonal_5b_dev.wav
,,,,,,,,2,0,1.6873,6,1.438065,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,17,17,27,1,mels/tonal_1b_dev.wav
,,,,,,,,2,0,3.19094,6,1.965675,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,18,18,40,1,mels/tonal_5a_std.wav
,,,,,,,,2,0,1.723055,6,1.857,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,19,19,44,1,mels/tonal_6a_std.wav
,,,,,,,,2,0,2.779055,6,6.77799,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,20,20,37,1,mels/tonal_4a_dev.wav
,,,,,,,,2,0,1.519495,6,2.221835,,,,,,,,26,f,63,1,7,2020-11-03_09h48.44.989,exp_mumufe_builder,2020.2.3,Win32,60,,,0,21,21,32,1,mels/tonal_3a_std.wav
