key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
2,7.731,2,11.144,space,40.661,space,3.56,2,1,3.541,7,3.75,0,0,0,0,1,practice/practice_1_std.wav,2,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,5.552,7,1.82,0,1,1,1,1,practice/practice_1_dev.wav,1,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,2.172,7,6.152,0,2,2,2,1,practice/practice_2_std.wav,2,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.836,7,1.585,0,3,3,3,1,practice/practice_2_dev.wav,1,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,0.954,7,0.59,0,4,4,4,1,practice/practice_3_dev.wav,1,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,1.953,7,5.586,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,space,4.08,0,0,0,15,1,mels/atonal_4b_dev.wav
,,,,,,,,1,1,0.586,7,1.474,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,39,1,mels/tonal_4b_dev.wav
,,,,,,,,1,1,1.151,7,0.968,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,21,1,mels/atonal_6a_dev.wav
,,,,,,,,1,1,0.871,7,1.768,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,31,1,mels/tonal_2b_dev.wav
,,,,,,,,1,1,0.942,7,1.119,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,5,1,mels/atonal_2a_dev.wav
,,,,,,,,1,1,0.855,7,1.335,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,27,1,mels/tonal_1b_dev.wav
,,,,,,,,1,1,2.738,5,2.29,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,8,1,mels/atonal_3a_std.wav
,,,,,,,,1,1,0.601,7,1.068,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,41,1,mels/tonal_5a_dev.wav
,,,,,,,,2,0,1.806,7,2.718,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,8,8,42,1,mels/tonal_5b_std.wav
,,,,,,,,2,0,10.602,5,1.919,,,,,,,,07,f,33,6,5,2020-09-12_13h04.40.902,exp_mumufe_builder,2020.2.3,Win32,60,,,0,9,9,6,1,mels/atonal_2b_std.wav
