key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,1.494,1,1.053,space,1.757,space,1.053,2,1,2.796,7,2.574,0,0,0,0,1,practice/practice_1_std.wav,2,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,1.592,7,0.956,0,1,1,1,1,practice/practice_1_dev.wav,1,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,1,1.402,7,1.017,0,2,2,2,1,practice/practice_2_std.wav,2,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,1.103,7,1.527,0,3,3,3,1,practice/practice_2_dev.wav,1,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,2,0,2.102,4,2.451,0,4,4,4,1,practice/practice_3_dev.wav,1,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,,,,,,
,,,,,,,,1,1,6.235,4,1.701,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,space,2.403,0,0,0,45,1,mels/tonal_6a_dev.wav
,,,,,,,,1,1,1.492,4,1.039,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,1,1,5,1,mels/atonal_2a_dev.wav
,,,,,,,,2,0,2.007,7,1.384,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,2,2,2,1,mels/atonal_1b_std.wav
,,,,,,,,1,1,1.335,3,2.538,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,3,3,37,1,mels/tonal_4a_dev.wav
,,,,,,,,2,0,1.433,3,1.173,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,4,4,7,1,mels/atonal_2b_dev.wav
,,,,,,,,2,0,1.74,7,0.885,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,5,5,44,1,mels/tonal_6a_std.wav
,,,,,,,,2,0,1.234,7,0.79,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,6,6,34,1,mels/tonal_3b_std.wav
,,,,,,,,2,0,1.174,7,0.843,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,7,7,18,1,mels/atonal_5b_std.wav
,,,,,,,,1,1,1.017,7,0.671,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,8,8,17,1,mels/atonal_5a_dev.wav
,,,,,,,,1,1,0.503,7,1.119,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,9,9,41,1,mels/tonal_5a_dev.wav
,,,,,,,,2,0,1.768,4,0.91,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,10,10,25,1,mels/tonal_1a_dev.wav
,,,,,,,,2,0,1.56,4,0.818,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,11,11,20,1,mels/atonal_6a_std.wav
,,,,,,,,1,1,1.024,6,1.04,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,12,12,19,1,mels/atonal_5b_dev.wav
,,,,,,,,2,0,1.705,5,0.566,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,13,13,0,1,mels/atonal_1a_std.wav
,,,,,,,,2,0,1.469,7,0.533,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,14,14,6,1,mels/atonal_2b_std.wav
,,,,,,,,1,1,0.367,7,0.872,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,15,15,11,1,mels/atonal_3b_dev.wav
,,,,,,,,1,1,0.486,7,1.044,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,16,16,9,1,mels/atonal_3a_dev.wav
,,,,,,,,1,1,0.95,6,0.851,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,17,17,29,1,mels/tonal_2a_dev.wav
,,,,,,,,2,0,1.055,7,0.591,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,18,18,32,1,mels/tonal_3a_std.wav
,,,,,,,,2,0,1.223,4,0.456,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,19,19,15,1,mels/atonal_4b_dev.wav
,,,,,,,,1,1,0.907,4,0.718,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,20,20,3,1,mels/atonal_1b_dev.wav
,,,,,,,,1,1,1.302,4,0.826,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,21,21,21,1,mels/atonal_6a_dev.wav
,,,,,,,,2,0,14.123,4,1.334,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,22,22,4,1,mels/atonal_2a_std.wav
,,,,,,,,2,0,4.508,5,1.11,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,23,23,26,1,mels/tonal_1b_std.wav
,,,,,,,,2,0,2.541,4,0.907,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,24,24,10,1,mels/atonal_3b_std.wav
,,,,,,,,2,0,1.159,7,0.785,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,25,25,8,1,mels/atonal_3a_std.wav
,,,,,,,,2,0,1.224,7,0.42,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,26,26,24,1,mels/tonal_1a_std.wav
,,,,,,,,1,1,0.319,7,1.09,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,27,27,33,1,mels/tonal_3a_dev.wav
,,,,,,,,2,0,1.701,7,1.155,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,28,28,36,1,mels/tonal_4a_std.wav
,,,,,,,,2,0,1.543,7,0.971,,,,,,,,52,m,21,2,12,2020-11-30_11h05.57.942,exp_mumufe_builder,2020.2.2,MacIntel,60,,,0,29,29,14,1,mels/atonal_4b_std.wav
