key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,practice_mels,right_response,participant*,sex (m/f)*,age*,years of musical training*,I started musical training at the age of?*,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mels
1,43.057,1,16.832,space,66.624,space,5.712,1,0,5.415,2,12.316,0,0,0,0,1,practice/practice_1_std.wav,2,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,3.888,7,5.084,0,1,1,1,1,practice/practice_1_dev.wav,1,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,1,2.559,7,5.221,0,2,2,2,1,practice/practice_2_std.wav,2,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,2.506,2,5.236,0,3,3,3,1,practice/practice_2_dev.wav,1,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,2,0,1.793,2,2.124,0,4,4,4,1,practice/practice_3_dev.wav,1,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,,,,,,
,,,,,,,,1,1,3.973,2,2.02,,,,,,,,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,space,3.916,0,0,0,19,1,mels/atonal_5b_dev.wav
,,,,,,,,1,1,3.836,2,2.051,,,,,,,,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,0,1,1,46,1,mels/tonal_6b_std.wav
,,,,,,,,1,1,4.345,2,1.32,,,,,,,,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,0,2,2,27,1,mels/tonal_1b_dev.wav
,,,,,,,,1,1,3.61,2,2.092,,,,,,,,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,0,3,3,31,1,mels/tonal_2b_dev.wav
,,,,,,,,2,0,1.269,2,1.013,,,,,,,,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,0,4,4,26,1,mels/tonal_1b_std.wav
,,,,,,,,2,0,2.768,2,1.435,,,,,,,,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,0,5,5,1,1,mels/atonal_1a_dev.wav
,,,,,,,,1,1,4.136,2,1.153,,,,,,,,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,0,6,6,38,1,mels/tonal_4b_std.wav
,,,,,,,,1,1,6.495,1,2.271,,,,,,,,34,f,35,2,7,2020-11-08_20h01.12.899,exp_mumufe_builder,2020.2.3,Win32,60,,,0,7,7,33,1,mels/tonal_3a_dev.wav
